                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.1189,                 1.8134,                0.90072,                 0.2768,                0.64107,                0.34029,                0.22105,                 1.1669,                 1.7076,                0.90205,              0.0012918,              0.0012918,              0.0012918
                     99,                 1.0903,                 1.8015,                0.88373,                 0.2663,                0.60582,                0.33145,                0.21646,                 1.0751,                 1.6958,                0.88707,              0.0012904,              0.0012904,              0.0012904
                    100,                 1.0619,                 1.7837,                0.88334,                0.25475,                0.62781,                0.32142,                0.21417,                 1.0385,                 1.7051,                0.88105,              0.0012889,              0.0012889,              0.0012889
                    101,                 1.0394,                 1.8002,                0.88661,                0.25988,                0.63331,                0.33137,                0.22591,                 1.0245,                 1.6714,                0.88566,              0.0012875,              0.0012875,              0.0012875
                    102,                 1.0557,                 1.7502,                0.89829,                0.31126,                0.58267,                0.38611,                0.26519,                 0.9254,                 1.6142,                0.87017,              0.0012861,              0.0012861,              0.0012861
                    103,                 1.1083,                 1.7713,                 0.8938,                0.27998,                 0.6325,                0.34072,                0.22691,                 1.1152,                 1.6379,                0.88717,              0.0012847,              0.0012847,              0.0012847
                    104,                  1.137,                 1.7414,                0.89897,                0.29579,                0.63384,                0.36334,                0.25523,                0.94491,                 1.6222,                0.86634,              0.0012833,              0.0012833,              0.0012833
                    105,                 1.0127,                 1.7184,                 0.8962,                0.33318,                0.59651,                0.40073,                0.27279,                0.93276,                 1.6122,                0.86138,              0.0012819,              0.0012819,              0.0012819
                    106,                0.99334,                 1.7105,                0.88488,                0.24858,                0.80537,                0.30095,                0.21559,                0.91711,                 1.7549,                0.85945,              0.0012805,              0.0012805,              0.0012805
                    107,                 1.0298,                 1.7188,                0.88516,                0.35004,                0.59242,                0.40716,                0.27077,                0.95017,                 1.5951,                0.86292,               0.001279,               0.001279,               0.001279
                    108,                 1.0639,                 1.7156,                0.89079,                0.31992,                0.59737,                0.38423,                0.26774,                0.94103,                 1.5943,                0.86656,              0.0012776,              0.0012776,              0.0012776
                    109,                 1.0599,                 1.6834,                0.89349,                0.30838,                0.60967,                0.36924,                0.26082,                0.94649,                 1.6022,                0.87081,              0.0012762,              0.0012762,              0.0012762
                    110,                 1.0637,                 1.6878,                0.90595,                0.33423,                 0.6034,                0.39701,                0.26869,                0.98655,                 1.6376,                0.87765,              0.0012748,              0.0012748,              0.0012748
                    111,                 1.0466,                 1.6804,                0.87868,                0.34801,                0.57977,                0.40372,                0.24251,                 1.1625,                 1.5866,                0.89218,              0.0012734,              0.0012734,              0.0012734
                    112,                 1.2016,                   1.71,                0.91472,                0.32182,                0.63747,                0.39325,                0.26769,                 1.0053,                 1.5887,                0.87372,               0.001272,               0.001272,               0.001272
                    113,                 1.0434,                  1.685,                0.88308,                0.32141,                0.63476,                 0.3752,                0.23189,                 1.0311,                 1.6221,                0.87223,              0.0012706,              0.0012706,              0.0012706
                    114,                 1.1434,                 1.6973,                0.89562,                0.31027,                0.60027,                0.37818,                0.24566,                 1.1887,                 1.5773,                 0.9033,              0.0012691,              0.0012691,              0.0012691
                    115,                 1.2926,                 1.6847,                0.91879,                0.39634,                0.55783,                0.45746,                0.28698,                 1.1871,                 1.5907,                 0.9027,              0.0012677,              0.0012677,              0.0012677
                    116,                 1.0957,                 1.6556,                0.90608,                0.40063,                0.56364,                 0.4654,                 0.3109,                 1.0157,                 1.6865,                0.88388,              0.0012663,              0.0012663,              0.0012663
                    117,                 1.2601,                 1.6757,                0.90236,                 0.3393,                0.54097,                0.39831,                0.27173,                0.95601,                 1.5925,                0.87005,              0.0012649,              0.0012649,              0.0012649
                    118,                 1.0847,                 1.6608,                0.89328,                0.33992,                 0.6152,                0.40229,                0.25879,                 1.1111,                 1.6204,                0.89052,              0.0012635,              0.0012635,              0.0012635
                    119,                 1.1007,                 1.6618,                0.89105,                0.37954,                0.59702,                0.45186,                0.30783,                 1.0035,                 1.5524,                0.86958,              0.0012621,              0.0012621,              0.0012621
                    120,                 1.0909,                 1.5938,                0.88846,                0.40329,                0.58251,                0.44834,                0.31768,                0.89524,                 1.6411,                0.86225,              0.0012606,              0.0012606,              0.0012606
                    121,                 1.0549,                 1.6129,                0.88086,                0.38164,                0.61857,                0.44914,                0.30897,                 1.0264,                  1.567,                0.87606,              0.0012592,              0.0012592,              0.0012592
